id,domains,phase,service,title,url,silver_page,priority,status,doc_title,attempts,err,raw_path,md_path,bytes_html,bytes_md,fetched_at
EXAM-01,EXAM,0,AWS Certification,AWS Certified Solutions Architect - Associate (página oficial del examen),https://aws.amazon.com/certification/certified-solutions-architect-associate/,examen.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/0-exam-y-recursos-oficiales/EXAM-01.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/0-exam-y-recursos-oficiales/EXAM-01.md,83348,4592,previo
EXAM-02,EXAM,0,AWS Certification,Exam Guide oficial SAA-C03 (HTML en AWS Docs),https://docs.aws.amazon.com/aws-certification/latest/solutions-architect-associate-03/solutions-architect-associate-03.html,examen.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/0-exam-y-recursos-oficiales/EXAM-02.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/0-exam-y-recursos-oficiales/EXAM-02.md,31056,6834,previo
EXAM-03,EXAM,0,AWS Certification,Exam Guide oficial SAA-C03 (PDF),https://d1.awsstatic.com/training-and-certification/docs-sa-assoc/AWS-Certified-Solutions-Architect-Associate_Exam-Guide_C03.pdf,examen.html,1,ok,AWS Certified Solutions Architect - Associate (SAA-C03) Exam Guide,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/0-exam-y-recursos-oficiales/EXAM-03.pdf,/home/z/my-project/download/saa-study-pack/bronze/markdown/0-exam-y-recursos-oficiales/EXAM-03.md,171606,33311,2026-09-11T03:35:01
EXAM-04,EXAM,0,AWS Skill Builder,Categoría Exam Prep SAA-C03 en AWS Skill Builder,https://skillbuilder.aws/category/exam-prep/solutions-architect-associate-SAA-C03,skill-builder.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/0-exam-y-recursos-oficiales/EXAM-04.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/0-exam-y-recursos-oficiales/EXAM-04.md,164422,906,previo
EXAM-05,EXAM,0,AWS Skill Builder,Exam Prep Plan: AWS Certified Solutions Architect - Associate (SAA-C03),https://skillbuilder.aws/learning-plan/UYRXS2DF85/exam-prep-plan-aws-certified-solutions-architect--associate-saac03--english/U991QUF9C3,skill-builder.html,2,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/0-exam-y-recursos-oficiales/EXAM-05.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/0-exam-y-recursos-oficiales/EXAM-05.md,3657411,314,previo
EXAM-06,EXAM,0,AWS Whitepapers,AWS Whitepapers & Guides (centro oficial),https://aws.amazon.com/whitepapers/,fuentes.html,3,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/0-exam-y-recursos-oficiales/EXAM-06.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/0-exam-y-recursos-oficiales/EXAM-06.md,75008,812,previo
FND-01,"D1,D2,D3",1,AWS Overview,AWS Overview whitepaper - Introduction,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/introduction.html,fundamentos.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-01.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-01.md,13908,2480,previo
FND-02,"D1,D2",1,AWS Overview,"AWS Overview - AWS global infrastructure (Regions, AZs, edge)",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/aws-global-infrastructure.html,fundamentos.html,1,ok,,0,descargado en ejecución anterior,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-02.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-02.md,13918,2489,previo
FND-03,"D1,D2,D3,D4",1,Well-Architected,AWS Well-Architected Framework - Welcome,https://docs.aws.amazon.com/wellarchitected/latest/framework/welcome.html,well-architected.html,1,ok,AWS Well-Architected Framework - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-03.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-03.md,17854,4160,2026-09-11T03:20:21
FND-04,"D1,D2,D3,D4",1,Well-Architected,Well-Architected Framework - The six pillars,https://docs.aws.amazon.com/wellarchitected/latest/framework/pillars.html,well-architected.html,1,ok,AWS Well-Architected Framework - AWS Well-Architected Framework,1,,/home/z/my-project/download/saa-study-pack/bronze/raw/1-fundamentos-y-well-architected/FND-04.html,/home/z/my-project/download/saa-study-pack/bronze/markdown/1-fundamentos-y-well-architected/FND-04.md,7626,4113,2026-09-11T03:20:29
